Wide(Inches),Weight(Pounds),Ram Size(GB),Ram Type,HDD,Processor,Battery(mAh),Camera(MP),Display,Label
15.5,3.76,2,DDR3,256GB,3.39,5251,1.9,AMOLED,1
15.2,4.63,4,DDR3,128GB,2.56,3144,4,AMOLED,2
15.7,2.51,8,DDR3,256GB,3.01,3204,2.1,AMOLED,3
14.2,3.18,8,DDR3,128GB,4.27,3922,1.3,LED,4
10.0,1.73,16,DR2,16GB,2.36,3444,6,OLED,5
5.4,0.147,2,DDR3,32GB,2.36,821,6,IPS,6
15.0,4.91,16,DDR4,1TB,2.25,4130,2.1,IPS,1
15.5,4.14,16,DDR4,512GB,2.67,3166,1.2,AMOLED,2
16.0,2.4,2,DDR4,1TB,2.74,3565,1.9,LED,3
14.6,2.92,8,DDR3,512GB,3.91,3646,1.3,LED,4
11.0,1.01,2,DDR4,16GB,1.5,4741,6,IPS,5
4.4,0.182,16,DR2,128GB,1.8,2591,32,LED,6
15.7,3.13,4,DDR3,1TB,2.6,3022,2.1,LED,1
15.6,5.29,2,DDR4,256GB,2.88,2684,1.9,OLED,2
15.7,2.64,16,DDR3,512GB,3.13,3646,1.3,AMOLED,3
14.4,3.58,2,DR2,256GB,4.27,3608,1.3,AMOLED,4
9.9,1.24,4,DDR4,64GB,2.36,4673,8,AMOLED,5
3.1,0.179,2,DDR3,64GB,1.5,2678,8,IPS-LCD,6
15.0,4.65,16,DDR4,128GB,1.75,2284,1.3,LED,1
14.6,5.75,16,DR2,512GB,2.9,2664,1.3,LTPS-SCREEN,2
15.7,2.84,4,DR2,512GB,2.57,4154,4,LED,3
14.5,3.13,2,DR2,128GB,3.83,3674,2.1,LED,4
11.8,0.79,16,DDR3,16GB,1.8,3424,4,IPS-LCD,5
4.4,0.178,2,DR2,32GB,2.96,3727,3,LED,6
14.8,7.08,2,DDR4,256GB,3.26,3781,4,IPS-LCD,1
14.8,5.69,16,DR2,128GB,2.46,3030,1.9,IPS-LCD,2
15.7,2.42,4,DDR3,512GB,3.05,5805,3.1,IPS,3
15.1,3.72,4,DDR4,512GB,4.43,4653,1.9,AMOLED,4
10.2,0.72,4,DR2,32GB,1.8,3625,1.3,LED,5
4.1,0.156,4,DR2,128GB,1.8,1038,48,LTPS-SCREEN,6
15.3,6.91,8,DR2,512GB,2.31,3799,1.3,AMOLED,1
15.5,5.59,2,DR2,128GB,2.63,3113,3.1,LED,2
15.6,2.88,8,DDR3,512GB,2.31,5746,2.1,LTPS-SCREEN,3
14.0,3.72,2,DR2,256GB,3.78,4577,1.3,IPS,4
10.0,1.56,8,DR2,64GB,2.36,3403,13,AMOLED,5
4.8,0.181,2,DDR4,64GB,1.3,1685,16,AMOLED,6
14.9,7.79,16,DR2,512GB,1.92,3471,3.1,IPS-LCD,1
14.5,5.33,4,DR2,512GB,2.39,3415,1.2,LTPS-SCREEN,2
15.9,2.47,16,DDR3,128GB,2.78,4719,1.2,IPS-LCD,3
14.8,3.71,4,DDR4,256GB,4.0,4564,1.9,AMOLED,4
